Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans (Yellow-Green),-,-,-,Mbale,-,250.00/Kg,500.00,Vihiga,2025-02-11
Beans (Yellow-Green),-,-,-,Mbale,-,238.10/Kg,600.00,Vihiga,2025-02-04
Beans (Yellow-Green),-,-,-,Mbale,-,250.00/Kg,400.00,Vihiga,2025-01-30
Beans (Yellow-Green),-,-,-,Mbale,-,214.29/Kg,400.00,Vihiga,2025-01-28
Beans (Yellow-Green),-,-,-,Mbale,40.00/Kg,225.00/Kg,2000.00,Vihiga,2025-01-22
Beans (Yellow-Green),-,-,-,Kangemi Market,122.22/Kg,140.00/Kg,,Nairobi,2024-11-11
Beans (Yellow-Green),-,-,-,Kangemi Market,125.56/Kg,150.00/Kg,,Nairobi,2024-11-08
Beans (Yellow-Green),-,-,-,Kangemi Market,120.00/Kg,145.00/Kg,,Nairobi,2024-11-05
Beans (Yellow-Green),-,-,-,Kerugoya,180.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-10-10
Beans (Yellow-Green),-,-,-,Kalundu,144.44/Kg,150.00/Kg,,Kitui,2024-10-10
Beans (Yellow-Green),-,-,-,Kawangware,-,135.00/Kg,,Nairobi,2024-10-10
Beans (Yellow-Green),-,-,-,Gikomba,-,200.00/Kg,,Nairobi,2024-10-10
Beans (Yellow-Green),-,-,-,Mwatate,140.00/Kg,150.00/Kg,,Taita-Taveta,2024-10-10
Beans (Yellow-Green),-,-,-,Mwingi Town,150.00/Kg,180.00/Kg,4500.00,Kitui,2024-10-10
Beans (Yellow-Green),-,-,-,Rongo,157.98/Kg,177.73/Kg,2400.00,Migori,2024-10-09
Beans (Yellow-Green),-,-,-,Sabatia,177.78/Kg,225.00/Kg,180.00,Kakamega,2024-10-09
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,16200.00/Kg,,Nairobi,2024-10-09
Beans (Yellow-Green),-,-,-,Kawangware,-,135.00/Kg,,Nairobi,2024-10-09
Beans (Yellow-Green),-,-,-,Makutano Embu,133.33/Kg,200.00/Kg,,Embu,2024-10-09
Beans (Yellow-Green),-,-,-,Embu Town,105.56/Kg,200.00/Kg,4000.00,Embu,2024-10-09
Beans (Yellow-Green),-,-,-,Bondo,177.78/Kg,225.00/Kg,7000.00,Siaya,2024-10-08
Beans (Yellow-Green),-,-,-,Cheptulu,-,225.00/Kg,450.00,Vihiga,2024-10-08
Beans (Yellow-Green),-,-,-,Bondeni,150.00/Kg,175.00/Kg,200.00,Trans-Nzoia,2024-10-08
Beans (Yellow-Green),-,-,-,Maua,133.33/Kg,170.00/Kg,2250.00,Meru,2024-10-08
Beans (Yellow-Green),-,-,-,Isebania Market,-,180.00/Kg,2000.00,Migori,2024-10-08
Beans (Yellow-Green),-,-,-,Kawangware,-,135.00/Kg,,Nairobi,2024-10-08
Beans (Yellow-Green),-,-,-,Kerugoya,180.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-10-08
Beans (Yellow-Green),-,-,-,Nkubu,133.33/Kg,180.00/Kg,630.00,Meru,2024-10-08
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,16200.00/Kg,,Nairobi,2024-10-08
Beans (Yellow-Green),-,-,-,Chuka,133.33/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-10-08
Beans (Yellow-Green),-,-,-,Kagio,122.22/Kg,220.00/Kg,,Kirinyaga,2024-10-08
Beans (Yellow-Green),-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,2100.00,Kirinyaga,2024-10-08
Beans (Yellow-Green),-,-,-,Butere Livestock Market,177.78/Kg,225.00/Kg,180.00,Kakamega,2024-10-07
Beans (Yellow-Green),-,-,-,Molo,-,250.00/Kg,150.00,Nakuru,2024-10-07
Beans (Yellow-Green),-,-,-,Aram,165.44/Kg,183.82/Kg,250.00,Siaya,2024-10-07
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,16200.00/Kg,,Nairobi,2024-10-07
Beans (Yellow-Green),-,-,-,Kisasi,120.00/Kg,150.00/Kg,,Kitui,2024-10-07
Beans (Yellow-Green),-,-,-,Gikomba,142.22/Kg,200.00/Kg,,Nairobi,2024-10-07
Beans (Yellow-Green),-,-,-,Mabera,-,140.00/Kg,5200.00,Migori,2024-10-07
Beans (Yellow-Green),-,-,-,Kibiok,175.00/Kg,185.00/Kg,500.00,Nandi,2024-10-06
Beans (Yellow-Green),-,-,-,Khayega,152.00/Kg,160.00/Kg,380.00,Kakamega,2024-10-06
Beans (Yellow-Green),-,-,-,Muhoroni,175.00/Kg,200.00/Kg,5000.00,Kisumu,2024-10-06
Beans (Yellow-Green),-,-,-,Kapsabet Market,160.00/Kg,160.00/Kg,3500.00,Nandi,2024-10-05
Beans (Yellow-Green),-,-,-,Samburu,120.00/Kg,150.00/Kg,270.00,Kwale,2024-10-05
Beans (Yellow-Green),-,-,-,Lungalunga,100.00/Kg,150.00/Kg,1000.00,Kwale,2024-10-05
Beans (Yellow-Green),-,-,-,Awendo,166.67/Kg,227.27/Kg,,Migori,2024-10-05
Beans (Yellow-Green),-,-,-,Chuka,133.33/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-10-04
Beans (Yellow-Green),-,-,-,Mumias,160.00/Kg,200.00/Kg,2700.00,Kakamega,2024-10-04
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,200.00/Kg,,Nairobi,2024-10-04
Beans (Yellow-Green),-,-,-,Nyamakima,133.33/Kg,190.00/Kg,,Nairobi,2024-10-04
Beans (Yellow-Green),-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,2150.00,Kirinyaga,2024-10-04
Beans (Yellow-Green),-,-,-,Mabera,-,180.00/Kg,6200.00,Migori,2024-10-04
Beans (Yellow-Green),-,-,-,Isebania Market,-,220.00/Kg,3400.00,Migori,2024-10-03
Beans (Yellow-Green),-,-,-,Kerugoya,177.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-10-03
Beans (Yellow-Green),-,-,-,Katito,175.00/Kg,200.00/Kg,2300.00,Kisumu,2024-10-03
Beans (Yellow-Green),-,-,-,Aram,165.44/Kg,183.82/Kg,300.00,Siaya,2024-10-03
Beans (Yellow-Green),-,-,-,Ahero,190.00/Kg,200.00/Kg,3000.00,Kisumu,2024-10-03
Beans (Yellow-Green),-,-,-,Bondo,150.00/Kg,225.00/Kg,7000.00,Siaya,2024-10-03
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,200.00/Kg,,Nairobi,2024-10-03
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,190.00/Kg,,Nairobi,2024-10-03
Beans (Yellow-Green),-,-,-,Kutus,181.00/Kg,203.62/Kg,0.00,Kirinyaga,2024-10-03
Beans (Yellow-Green),-,-,-,Molo,-,250.00/Kg,350.00,Nakuru,2024-10-03
Beans (Yellow-Green),-,-,-,Makutano Embu,-,150.00/Kg,,Embu,2024-10-03
Beans (Yellow-Green),-,-,-,Miruka,225.00/Kg,240.00/Kg,540.00,Nyamira,2024-10-02
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,200.00/Kg,,Nairobi,2024-10-02
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,190.00/Kg,,Nairobi,2024-10-02
Beans (Yellow-Green),-,-,-,Embu Town,100.00/Kg,200.00/Kg,4000.00,Embu,2024-10-02
Beans (Yellow-Green),-,-,-,Mabera,-,140.00/Kg,6500.00,Migori,2024-10-02
Beans (Yellow-Green),-,-,-,Bondo,177.78/Kg,225.00/Kg,7000.00,Siaya,2024-10-01
Beans (Yellow-Green),-,-,-,Voi Retail,-,160.00/Kg,90.00,Taita-Taveta,2024-10-01
Beans (Yellow-Green),-,-,-,Kisasi,120.00/Kg,150.00/Kg,,Kitui,2024-10-01
Beans (Yellow-Green),-,-,-,Maua,133.33/Kg,170.00/Kg,2250.00,Meru,2024-10-01
Beans (Yellow-Green),-,-,-,Kirwara Market,-,160.00/Kg,90.00,Muranga,2024-10-01
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,190.00/Kg,,Nairobi,2024-10-01
Beans (Yellow-Green),-,-,-,Nkubu,111.11/Kg,150.00/Kg,900.00,Meru,2024-10-01
Beans (Yellow-Green),-,-,-,Chuka,144.44/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-10-01
Beans (Yellow-Green),-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,3500.00,Kirinyaga,2024-10-01
Beans (Yellow-Green),-,-,-,Bondeni,125.00/Kg,150.00/Kg,200.00,Trans-Nzoia,2024-10-01
Beans (Yellow-Green),-,-,-,Isebania Market,-,200.00/Kg,2300.00,Migori,2024-10-01
Beans (Yellow-Green),-,-,-,Awendo,161.11/Kg,227.27/Kg,,Migori,2024-10-01
Beans (Yellow-Green),-,-,-,Awendo,161.11/Kg,227.27/Kg,,Migori,2024-10-01
Beans (Yellow-Green),-,-,-,Kagio,116.67/Kg,180.00/Kg,,Kirinyaga,2024-09-30
Beans (Yellow-Green),-,-,-,Kerugoya,177.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-09-30
Beans (Yellow-Green),-,-,-,Aram,165.44/Kg,183.82/Kg,300.00,Siaya,2024-09-30
Beans (Yellow-Green),-,-,-,Kutus,180.00/Kg,200.00/Kg,630.00,Kirinyaga,2024-09-30
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,190.00/Kg,,Nairobi,2024-09-30
Beans (Yellow-Green),-,-,-,Gikomba,144.44/Kg,200.00/Kg,,Nairobi,2024-09-30
Beans (Yellow-Green),-,-,-,Kawangware,-,130.00/Kg,,Nairobi,2024-09-30
Beans (Yellow-Green),-,-,-,Kibuye,-,240.00/Kg,8600.00,Kisumu,2024-09-29
Beans (Yellow-Green),-,-,-,Khayega,188.00/Kg,200.00/Kg,180.00,Kakamega,2024-09-29
Beans (Yellow-Green),-,-,-,Mumias,160.00/Kg,200.00/Kg,900.00,Kakamega,2024-09-29
Beans (Yellow-Green),-,-,-,Muhoroni,175.00/Kg,200.00/Kg,3500.00,Kisumu,2024-09-29
Beans (Yellow-Green),-,-,-,Molo,-,200.00/Kg,250.00,Nakuru,2024-09-28
Beans (Yellow-Green),-,-,-,Isebania Market,-,168.00/Kg,3500.00,Migori,2024-09-28
Beans (Yellow-Green),-,-,-,Bondo,138.89/Kg,225.00/Kg,3000.00,Siaya,2024-09-27
Beans (Yellow-Green),-,-,-,Kisasi,120.00/Kg,140.00/Kg,,Kitui,2024-09-27
Beans (Yellow-Green),-,-,-,Bungoma town,225.00/Kg,250.00/Kg,1800.00,Bungoma,2024-09-27
Beans (Yellow-Green),-,-,-,Kerugoya,177.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-09-27
Beans (Yellow-Green),-,-,-,Mumias,160.00/Kg,200.00/Kg,900.00,Kakamega,2024-09-27
Beans (Yellow-Green),-,-,-,Kawangware,-,130.00/Kg,,Nairobi,2024-09-27
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,190.00/Kg,,Nairobi,2024-09-27
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,200.00/Kg,,Nairobi,2024-09-27
Beans (Yellow-Green),-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,2500.00,Kirinyaga,2024-09-27
Beans (Yellow-Green),-,-,-,Makutano Kirinyaga,100.00/Kg,150.00/Kg,1500.00,Kirinyaga,2024-09-27
Beans (Yellow-Green),-,-,-,Katito,175.00/Kg,200.00/Kg,3500.00,Kisumu,2024-09-26
Beans (Yellow-Green),-,-,-,Maua,133.33/Kg,170.00/Kg,2160.00,Meru,2024-09-26
Beans (Yellow-Green),-,-,-,Kawangware,-,130.00/Kg,,Nairobi,2024-09-26
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,200.00/Kg,,Nairobi,2024-09-26
Beans (Yellow-Green),-,-,-,Kimilili town,170.00/Kg,180.00/Kg,100.00,Bungoma,2024-09-26
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,190.00/Kg,,Nairobi,2024-09-26
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,190.00/Kg,,Nairobi,2024-09-25
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,200.00/Kg,,Nairobi,2024-09-25
Beans (Yellow-Green),-,-,-,Mukuyu Market,-,250.00/Kg,,Muranga,2024-09-25
Beans (Yellow-Green),-,-,-,Kawangware,-,135.00/Kg,,Nairobi,2024-09-25
Beans (Yellow-Green),-,-,-,Makutano Kirinyaga,100.00/Kg,150.00/Kg,3200.00,Kirinyaga,2024-09-25
Beans (Yellow-Green),-,-,-,Embu Town,100.00/Kg,200.00/Kg,3000.00,Embu,2024-09-25
Beans (Yellow-Green),-,-,-,Isebania Market,-,200.00/Kg,3000.00,Migori,2024-09-25
Beans (Yellow-Green),-,-,-,Bondo,138.89/Kg,225.00/Kg,7000.00,Siaya,2024-09-24
Beans (Yellow-Green),-,-,-,Kerugoya,177.00/Kg,225.00/Kg,1.00,Kirinyaga,2024-09-24
Beans (Yellow-Green),-,-,-,Voi Retail,-,160.00/Kg,90.00,Taita-Taveta,2024-09-24
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,200.00/Kg,,Nairobi,2024-09-24
Beans (Yellow-Green),-,-,-,Kawangware,-,135.00/Kg,,Nairobi,2024-09-24
Beans (Yellow-Green),-,-,-,Nkubu,111.11/Kg,150.00/Kg,720.00,Meru,2024-09-24
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,190.00/Kg,,Nairobi,2024-09-24
Beans (Yellow-Green),-,-,-,Chuka,133.33/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-09-24
Beans (Yellow-Green),-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,2500.00,Kirinyaga,2024-09-24
Beans (Yellow-Green),-,-,-,Kabati Kitui,127.78/Kg,150.00/Kg,3690.00,Kitui,2024-09-24
Beans (Yellow-Green),-,-,-,Awendo,166.67/Kg,227.27/Kg,,Migori,2024-09-24
Beans (Yellow-Green),-,-,-,Aram,165.44/Kg,183.82/Kg,350.00,Siaya,2024-09-23
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,190.00/Kg,,Nairobi,2024-09-23
Beans (Yellow-Green),-,-,-,Kawangware,-,140.00/Kg,,Nairobi,2024-09-23
Beans (Yellow-Green),-,-,-,Kalundu,138.89/Kg,150.00/Kg,,Kitui,2024-09-23
Beans (Yellow-Green),-,-,-,Kagio,122.22/Kg,180.00/Kg,,Kirinyaga,2024-09-23
Beans (Yellow-Green),-,-,-,Kibuye,-,260.00/Kg,10200.00,Kisumu,2024-09-22
Beans (Yellow-Green),-,-,-,Muhoroni,175.00/Kg,200.00/Kg,5000.00,Kisumu,2024-09-22
Beans (Yellow-Green),-,-,-,Mumias,186.67/Kg,210.00/Kg,,Kakamega,2024-09-22
Beans (Yellow-Green),-,-,-,Majengo Vihiga,-,300.00/Kg,600.00,Vihiga,2024-09-22
Beans (Yellow-Green),-,-,-,Isebania Market,-,200.00/Kg,2500.00,Migori,2024-09-21
Beans (Yellow-Green),-,-,-,Mbale,-,300.00/Kg,400.00,Vihiga,2024-09-20
Beans (Yellow-Green),-,-,-,Cheptulu,-,225.00/Kg,400.00,Vihiga,2024-09-20
Beans (Yellow-Green),-,-,-,Kerugoya,150.00/Kg,200.00/Kg,1600.00,Kirinyaga,2024-09-20
Beans (Yellow-Green),-,-,-,Chwele,280.00/Kg,160.00/Kg,450000.00,Bungoma,2024-09-20
Beans (Yellow-Green),-,-,-,Mumias,180.00/Kg,225.00/Kg,,Kakamega,2024-09-20
Beans (Yellow-Green),-,-,-,Voi Wholesale,122.22/Kg,-,1800.00,Taita-Taveta,2024-09-20
Beans (Yellow-Green),-,-,-,Nyamakima,139.00/Kg,190.00/Kg,,Nairobi,2024-09-20
Beans (Yellow-Green),-,-,-,Chuka,13.33/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-09-20
Beans (Yellow-Green),-,-,-,Ngurubani Market,100.00/Kg,150.00/Kg,2500.00,Kirinyaga,2024-09-20
Beans (Yellow-Green),-,-,-,Makutano Kirinyaga,100.00/Kg,150.00/Kg,1850.00,Kirinyaga,2024-09-20
Beans (Yellow-Green),-,-,-,Kabati Kitui,90.00/Kg,150.00/Kg,63900.00,Kitui,2024-09-20
Beans (Yellow-Green),-,-,-,Mabera,-,16.00/Kg,25000.00,Migori,2024-09-19
Beans (Yellow-Green),-,-,-,Bondo,150.00/Kg,225.00/Kg,2000.00,Siaya,2024-09-19
Beans (Yellow-Green),-,-,-,Aram,165.44/Kg,183.82/Kg,350.00,Siaya,2024-09-19
Beans (Yellow-Green),-,-,-,Kimilili town,80.00/Kg,100.00/Kg,100.00,Bungoma,2024-09-19
Beans (Yellow-Green),-,-,-,Kagio,122.22/Kg,180.00/Kg,,Kirinyaga,2024-09-19
Beans (Yellow-Green),-,-,-,Kutus,330.00/Kg,350.00/Kg,0.00,Kirinyaga,2024-09-19
Beans (Yellow-Green),-,-,-,Kalundu,138.89/Kg,150.00/Kg,,Kitui,2024-09-19
Beans (Yellow-Green),-,-,-,Mabera,-,160.00/Kg,6000.00,Migori,2024-09-19
Beans (Yellow-Green),-,-,-,Mukuyu Market,-,250.00/Kg,,Muranga,2024-09-18
Beans (Yellow-Green),-,-,-,Miruka,190.00/Kg,225.00/Kg,720.00,Nyamira,2024-09-18
Beans (Yellow-Green),-,-,-,Gikomba,-,200.00/Kg,,Nairobi,2024-09-18
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-18
Beans (Yellow-Green),-,-,-,Eldoret Main,175.00/Kg,200.00/Kg,2000.00,Uasin-Gishu,2024-09-18
Beans (Yellow-Green),-,-,-,Makutano Kirinyaga,100.00/Kg,140.00/Kg,1950.00,Kirinyaga,2024-09-18
Beans (Yellow-Green),-,-,-,Embu Town,150.00/Kg,210.00/Kg,2800.00,Embu,2024-09-18
Beans (Yellow-Green),-,-,-,Ugunja,-,300.00/Kg,,Siaya,2024-09-18
Beans (Yellow-Green),-,-,-,Ngurubani Market,133.33/Kg,200.00/Kg,2700.00,Kirinyaga,2024-09-18
Beans (Yellow-Green),-,-,-,Isebania Market,-,200.00/Kg,2600.00,Migori,2024-09-17
Beans (Yellow-Green),-,-,-,Mbale,-,300.00/Kg,1000.00,Vihiga,2024-09-17
Beans (Yellow-Green),-,-,-,Bondo,150.00/Kg,90.00/Kg,7000.00,Siaya,2024-09-17
Beans (Yellow-Green),-,-,-,Cheptulu,-,200.00/Kg,500.00,Vihiga,2024-09-17
Beans (Yellow-Green),-,-,-,Kerugoya,177.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-09-17
Beans (Yellow-Green),-,-,-,Ahero,190.00/Kg,200.00/Kg,6000.00,Kisumu,2024-09-17
Beans (Yellow-Green),-,-,-,Voi Retail,-,160.00/Kg,150.00,Taita-Taveta,2024-09-17
Beans (Yellow-Green),-,-,-,Gikomba,133.33/Kg,200.00/Kg,,Nairobi,2024-09-17
Beans (Yellow-Green),-,-,-,Nkubu,111.11/Kg,150.00/Kg,540.00,Meru,2024-09-17
Beans (Yellow-Green),-,-,-,Kapsabet Market,120.00/Kg,140.00/Kg,3500.00,Nandi,2024-09-17
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-17
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-17
Beans (Yellow-Green),-,-,-,Chuka,133.33/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-09-17
Beans (Yellow-Green),-,-,-,Awendo,166.67/Kg,250.00/Kg,,Migori,2024-09-17
Beans (Yellow-Green),-,-,-,Mbale,-,300.00/Kg,450.00,Vihiga,2024-09-16
Beans (Yellow-Green),-,-,-,Kisasi,120.00/Kg,150.00/Kg,,Kitui,2024-09-16
Beans (Yellow-Green),-,-,-,Aram,165.44/Kg,183.82/Kg,300.00,Siaya,2024-09-16
Beans (Yellow-Green),-,-,-,Kalundu,138.89/Kg,150.00/Kg,,Kitui,2024-09-16
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-16
Beans (Yellow-Green),-,-,-,Kutus,150.00/Kg,175.00/Kg,900.00,Kirinyaga,2024-09-16
Beans (Yellow-Green),-,-,-,Molo,-,250.00/Kg,180.00,Nakuru,2024-09-16
Beans (Yellow-Green),-,-,-,Kibuye,-,250.00/Kg,10800.00,Kisumu,2024-09-15
Beans (Yellow-Green),-,-,-,Khayega,160.00/Kg,180.00/Kg,810.00,Kakamega,2024-09-15
Beans (Yellow-Green),-,-,-,Mghange,-,200.00/Kg,500.00,Taita-Taveta,2024-09-15
Beans (Yellow-Green),-,-,-,Muhoroni,150.00/Kg,175.00/Kg,6000.00,Kisumu,2024-09-15
Beans (Yellow-Green),-,-,-,Kibiok,175.00/Kg,190.00/Kg,500.00,Nandi,2024-09-15
Beans (Yellow-Green),-,-,-,Mabera,-,160.00/Kg,2450.00,Migori,2024-09-15
Beans (Yellow-Green),-,-,-,Ngurubani Market,133.33/Kg,200.00/Kg,2500.00,Kirinyaga,2024-09-15
Beans (Yellow-Green),-,-,-,Isebania Market,-,220.00/Kg,2500.00,Migori,2024-09-14
Beans (Yellow-Green),-,-,-,Mukuyu Market,122.22/Kg,133.33/Kg,,Muranga,2024-09-14
Beans (Yellow-Green),-,-,-,Marindi,-,200.00/Kg,1000.00,Migori,2024-09-14
Beans (Yellow-Green),-,-,-,Bungoma town,200.00/Kg,250.00/Kg,800.00,Bungoma,2024-09-13
Beans (Yellow-Green),-,-,-,Mumias,180.00/Kg,225.00/Kg,2200.00,Kakamega,2024-09-13
Beans (Yellow-Green),-,-,-,Bondo,177.78/Kg,225.00/Kg,7000.00,Siaya,2024-09-13
Beans (Yellow-Green),-,-,-,Kerugoya,177.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-09-13
Beans (Yellow-Green),-,-,-,Chuka,133.33/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-09-13
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-13
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-13
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-13
Beans (Yellow-Green),-,-,-,Makutano Kirinyaga,100.00/Kg,150.00/Kg,2500.00,Kirinyaga,2024-09-13
Beans (Yellow-Green),-,-,-,Kagio,127.78/Kg,200.00/Kg,,Kirinyaga,2024-09-12
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-12
Beans (Yellow-Green),-,-,-,Gikomba,-,210.00/Kg,,Nairobi,2024-09-12
Beans (Yellow-Green),-,-,-,Kalundu,142.22/Kg,150.00/Kg,,Kitui,2024-09-12
Beans (Yellow-Green),-,-,-,Kimilili town,90.00/Kg,180.00/Kg,150.00,Bungoma,2024-09-12
Beans (Yellow-Green),-,-,-,Makutano Kirinyaga,100.00/Kg,140.00/Kg,2500.00,Kirinyaga,2024-09-11
Beans (Yellow-Green),-,-,-,Webuye town,200.00/Kg,230.00/Kg,1200.00,Bungoma,2024-09-11
Beans (Yellow-Green),-,-,-,Kangeta,140.00/Kg,150.00/Kg,400.00,Meru,2024-09-11
Beans (Yellow-Green),-,-,-,Gikomba,-,210.00/Kg,,Nairobi,2024-09-11
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-11
Beans (Yellow-Green),-,-,-,Makutano Embu,-,175.00/Kg,,Embu,2024-09-11
Beans (Yellow-Green),-,-,-,Embu Town,133.33/Kg,175.00/Kg,3500.00,Embu,2024-09-11
Beans (Yellow-Green),-,-,-,Molo,-,200.00/Kg,250.00,Nakuru,2024-09-11
Beans (Yellow-Green),-,-,-,Isebania Market,-,200.00/Kg,2100.00,Migori,2024-09-11
Beans (Yellow-Green),-,-,-,Bondo,161.11/Kg,225.00/Kg,7000.00,Siaya,2024-09-10
Beans (Yellow-Green),-,-,-,Mabera,-,140.00/Kg,3000.00,Migori,2024-09-10
Beans (Yellow-Green),-,-,-,Kerugoya,180.00/Kg,225.00/Kg,1500.00,Kirinyaga,2024-09-10
Beans (Yellow-Green),-,-,-,Ahero,190.00/Kg,200.00/Kg,6000.00,Kisumu,2024-09-10
Beans (Yellow-Green),-,-,-,Ngurubani Market,94.44/Kg,140.00/Kg,2500.00,Kirinyaga,2024-09-10
Beans (Yellow-Green),-,-,-,Kapsabet Market,120.00/Kg,140.00/Kg,5000.00,Nandi,2024-09-10
Beans (Yellow-Green),-,-,-,Maua,122.22/Kg,150.00/Kg,2520.00,Meru,2024-09-10
Beans (Yellow-Green),-,-,-,Nkubu,111.11/Kg,150.00/Kg,720.00,Meru,2024-09-10
Beans (Yellow-Green),-,-,-,Gikomba,138.89/Kg,210.00/Kg,,Nairobi,2024-09-10
Beans (Yellow-Green),-,-,-,Nyamakima,138.89/Kg,170.00/Kg,,Nairobi,2024-09-10
Beans (Yellow-Green),-,-,-,Chuka,133.33/Kg,200.00/Kg,900.00,Tharaka-Nithi,2024-09-10
Beans (Yellow-Green),-,-,-,Bondeni,150.00/Kg,175.00/Kg,200.00,Trans-Nzoia,2024-09-10
Beans (Yellow-Green),-,-,-,Awendo,155.56/Kg,227.27/Kg,,Migori,2024-09-10
Beans (Yellow-Green),-,-,-,Awendo,155.56/Kg,227.27/Kg,,Migori,2024-09-10
Beans (Yellow-Green),-,-,-,Eldoret Main,175.00/Kg,200.00/Kg,2500.00,Uasin-Gishu,2024-09-09
Beans (Yellow-Green),-,-,-,Cheptulu,-,225.00/Kg,500.00,Vihiga,2024-09-09
Beans (Yellow-Green),-,-,-,Kawangware,-,130.00/Kg,,Nairobi,2024-09-09
Beans (Yellow-Green),-,-,-,Kutus,160.00/Kg,175.00/Kg,0.00,Kirinyaga,2024-09-09
Beans (Yellow-Green),-,-,-,Khayega,148.00/Kg,160.00/Kg,270.00,Kakamega,2024-09-08
Beans (Yellow-Green),-,-,-,Kibuye,-,250.00/Kg,14600.00,Kisumu,2024-09-08
Beans (Yellow-Green),-,-,-,Mumias,184.44/Kg,230.00/Kg,1440.00,Kakamega,2024-09-08
Beans (Yellow-Green),-,-,-,Kawangware,-,140.00/Kg,,Nairobi,2024-09-08
Beans (Yellow-Green),-,-,-,Mwatate,150.00/Kg,160.00/Kg,,Taita-Taveta,2024-09-08
Beans (Yellow-Green),-,-,-,Isebania Market,-,200.00/Kg,2000.00,Migori,2024-09-07
Beans (Yellow-Green),-,-,-,Makutano Kirinyaga,100.00/Kg,140.00/Kg,2500.00,Kirinyaga,2024-09-07
Beans (Yellow-Green),-,-,-,Serem - Vihiga,-,180.00/Kg,400.00,Vihiga,2024-09-07
Beans (Yellow-Green),-,-,-,Kapsabet Market,16.00/Kg,187.50/Kg,3500.00,Nandi,2024-09-07
Beans (Yellow-Green),-,-,-,Keroka,150.00/Kg,170.00/Kg,1500.00,Nyamira,2024-09-07
Beans (Yellow-Green),-,-,-,Akala,166.67/Kg,185.19/Kg,1000.00,Siaya,2024-09-07
Beans (Yellow-Green),-,-,-,Kawangware,-,140.00/Kg,,Nairobi,2024-09-07
Beans (Yellow-Green),-,-,-,Makutano Embu,-,175.00/Kg,,Embu,2024-09-07
Beans (Yellow-Green),-,-,-,Ngurubani Market,100.00/Kg,140.00/Kg,3200.00,Kirinyaga,2024-09-07
